State,Centre,Commodity,Variety,Unit,Category,Date,Retail Price
Andhra Pradesh,Chittoor,Onion,FAQ,Kg.,Food,JAN-2001,9.0
Andhra Pradesh,Guntur,Onion,FAQ,Kg.,Food,JAN-2001,7.5
Andhra Pradesh,Kurnool,Onion,FAQ,Kg.,Food,JAN-2001,8.0
Bihar,Hajipur,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Bihar,Muzaffarpur,Onion,FAQ,Kg.,Food,JAN-2001,9.5
Bihar,Patna,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Goa,Panaji,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Gujarat,Gandhi Nagar,Onion,FAQ,Kg.,Food,JAN-2001,8.0
Gujarat,Surat,Onion,FAQ,Kg.,Food,JAN-2001,8.0
Gujarat,Vadodra,Onion,FAQ,Kg.,Food,JAN-2001,7.5
Haryana,Karnal,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Jharkhand,Dhanbad,Onion,FAQ,Kg.,Food,JAN-2001,9.0
Jharkhand,Ranchi,Onion,FAQ,Kg.,Food,JAN-2001,9.0
Karnataka,Bangalore,Onion,FAQ,Kg.,Food,JAN-2001,5.0
Karnataka,Tumkur,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Kerala,Ernakulam,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Kerala,Khozhikode,Onion,FAQ,Kg.,Food,JAN-2001,9.0
Kerala,Trivandrum,Onion,FAQ,Kg.,Food,JAN-2001,12.0
Mizoram,Aizwal,Onion,FAQ,Kg.,Food,JAN-2001,15.0
National Capital,Delhi,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Orissa,Bhubneshwar,Onion,FAQ,Kg.,Food,JAN-2001,9.0
Orissa,Cuttack,Onion,FAQ,Kg.,Food,JAN-2001,8.5
Punjab,Amritsar,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Punjab,Bhatinda,Onion,FAQ,Kg.,Food,JAN-2001,10.0
Punjab,Ludhiana,Onion,FAQ,Kg.,Food,JAN-2001,11.0
Rajasthan,Jaipur,Onion,FAQ,Kg.,Food,JAN-2001,7.0
Rajasthan,Jodhpur,Onion,FAQ,Kg.,Food,JAN-2001,7.0
Tamil Nadu,Coimbatore,Onion,FAQ,Kg.,Food,JAN-2001,8.0
Tamil Nadu,Salem,Onion,FAQ,Kg.,Food,JAN-2001,7.0
Tripura,Agartala,Onion,FAQ,Kg.,Food,JAN-2001,12.0
Uttar Pradesh,Agra,Onion,FAQ,Kg.,Food,JAN-2001,8.0
Uttar Pradesh,Allahabad,Onion,FAQ,Kg.,Food,JAN-2001,9.0
Uttar Pradesh,Gorakhpur,Onion,FAQ,Kg.,Food,JAN-2001,9.0
